rank,country,peak,elev_m,peak_url,title,lat_lon,photo_url
93,Kosovo,Velika Rudoka,2661,https://www.peakbagger.com/peak.aspx?pid=73242,"Velika Rudoka, Kosovo/North Macedonia","41.918554, 20.776531",https://www.peakbagger.com/image/Suc.gif
94,Slovakia,Gerlachovský štít,2654,https://www.peakbagger.com/peak.aspx?pid=10307,"Gerlachovský štít, Slovakia","49.16403, 20.13403",https://www.peakbagger.com/image/amazontiny.gif
95,Egypt,Gebel Katherîna,2653,https://www.peakbagger.com/peak.aspx?pid=10460,"Gebel Katherîna, Egypt","28.50936, 33.95554",https://www.peakbagger.com/image/Suc.gif
96,Angola,Morro de Môco,2620,https://www.peakbagger.com/peak.aspx?pid=11210,"Morro de Môco, Angola","-12.462538, 15.173947",https://www.peakbagger.com/image/Suc.gif
97,Liechtenstein,Grauspitz,2600,https://www.peakbagger.com/peak.aspx?pid=10000,"Grauspitz, Liechtenstein/Switzerland","47.05271, 9.58131",https://www.peakbagger.com/image/amazontiny.gif
98,Zimbabwe,Mount Nyangani,2593,https://www.peakbagger.com/peak.aspx?pid=11229,"Mount Nyangani, Zimbabwe","-18.29991, 32.84194",https://www.peakbagger.com/image/Suc.gif
99,Namibia,Königstein,2573,https://www.peakbagger.com/peak.aspx?pid=11224,"Königstein, Namibia","-21.149307, 14.577541",https://www.peakbagger.com/image/Suc.gif
100,Thailand,Doi Inthanon,2565,https://www.peakbagger.com/peak.aspx?pid=10952,"Doi Inthanon, Thailand","18.587797, 98.486963",https://www.peakbagger.com/image/Suc.gif
101,Romania,Moldoveanu,2544,https://www.peakbagger.com/peak.aspx?pid=10317,"Moldoveanu, Romania","45.599895, 24.736003",https://www.peakbagger.com/image/amazontiny.gif
102,Montenegro,Zla Kolata,2525,https://www.peakbagger.com/peak.aspx?pid=30157,"Zla Kolata, Montenegro/Albania","42.485047, 19.896082",https://www.peakbagger.com/image/amazontiny.gif
103,Sri Lanka,Pidurutalagala,2524,https://www.peakbagger.com/peak.aspx?pid=10665,"Pidurutalagala, Sri Lanka","7.00072, 80.774143",https://www.peakbagger.com/image/Suc.gif
104,Poland,Rysy - Northwest Peak,2499,https://www.peakbagger.com/peak.aspx?pid=10301,"Rysy - Northwest Peak, Poland/Slovakia","49.179585, 20.08804",https://www.peakbagger.com/image/amazontiny.gif
105,Norway,Galdhøpiggen,2469,https://www.peakbagger.com/peak.aspx?pid=8916,"Galdhøpiggen, Norway","61.63643, 8.31245",https://www.peakbagger.com/image/amazontiny.gif
106,Somalia,Shimbiris,2460,https://www.peakbagger.com/peak.aspx?pid=11145,"Shimbiris, Somalia","10.735139, 47.245268",https://www.peakbagger.com/image/UnSuc.gif
107,Mozambique,Mount Binga,2436,https://www.peakbagger.com/peak.aspx?pid=11230,"Mount Binga, Zimbabwe/Mozambique","-19.776551, 33.062461",https://www.peakbagger.com/image/Suc.gif
108,Nigeria,Chappal Waddi,2419,https://www.peakbagger.com/peak.aspx?pid=11096,"Chappal Waddi, Nigeria/Cameroon","7.036389, 11.71477",https://www.peakbagger.com/image/Suc.gif
109,Bosnia and Herzegovina,Veliki Maglić,2386,https://www.peakbagger.com/peak.aspx?pid=10327,"Veliki Maglić, Bosnia and Herzegovina/Montenegro","43.28104, 18.733139",https://www.peakbagger.com/image/amazontiny.gif
110,Comoros,Karthala,2361,https://www.peakbagger.com/peak.aspx?pid=11322,"Karthala, Comoros","-11.758152, 43.366549",https://www.peakbagger.com/image/Suc.gif
111,Portugal,Montanha do Pico,2351,https://www.peakbagger.com/peak.aspx?pid=11292,"Montanha do Pico, Portugal","38.468642, -28.399298",https://www.peakbagger.com/image/amazontiny.gif
112,Libya,Pic Bette,2350,https://www.peakbagger.com/peak.aspx?pid=11064,"Pic Bette, Libya","21.98223, 19.144492",
113,Zambia,Mafinga Central,2339,https://www.peakbagger.com/peak.aspx?pid=11213,"Mafinga Central, Zambia/Malawi","-9.952694, 33.352361",https://www.peakbagger.com/image/Suc.gif
114,Solomon Islands,Mount Popomanaseu,2335,https://www.peakbagger.com/peak.aspx?pid=11822,"Mount Popomanaseu, Solomon Islands","-9.703256, 160.061472",https://www.peakbagger.com/image/UnSuc.gif
